,Year,Country,Region,Continent,Latitude,Longitude,CPI,total_affected,cluster_labels
156,1991,9,2,0,38.993,70.423,53.2711566167213,205094.0,1.0
157,1992,5,1,0,8.482000000000001,121.93,54.884642412802705,94603.0,1.0
158,1992,5,1,0,7.138,109.06700000000001,54.884642412802705,7501.0,1.0
163,1992,9,2,0,29.3,66.7,54.884642412802705,4.0,2.0
164,1992,9,2,0,33.376999999999995,71.317,54.884642412802705,2136.0,2.0
166,1993,4,2,0,16.4,74.2,56.5046456390697,39748.0,2.0
167,1993,4,2,0,18.12,76.533,56.5046456390697,525.0,2.0
169,1993,8,2,0,28.723000000000003,82.28,56.5046456390697,285.0,2.0
170,1994,5,1,0,4.967,104.302,57.977974238072605,49606.0,2.0
171,1994,5,1,0,1.015,127.73299999999999,57.977974238072605,200047.0,2.0
176,1994,0,2,0,37.0,67.0,57.977974238072605,100490.0,2.0
177,1994,3,0,0,22.52,118.7,57.977974238072605,501.0,2.0
178,1994,3,0,0,20.485,109.406,57.977974238072605,5860.0,2.0
179,1994,3,0,0,36.028,100.104,57.977974238072605,285.0,2.0
182,1995,3,0,0,21.965999999999998,99.196,59.6044948945252,1000147.0,1.0
183,1995,3,0,0,25.9,102.2,59.6044948945252,20343.0,1.0
184,1995,3,0,0,36.443000000000005,103.105,59.6044948945252,5074.0,1.0
187,1996,0,2,0,36.0,65.0,61.3516297283817,3250.0,1.0
188,1996,3,0,0,25.04,102.41,61.3516297283817,5078104.0,1.0
189,1996,3,0,0,40.774,109.661,61.3516297283817,200318.0,1.0
190,1996,3,0,0,39.28,76.44,61.3516297283817,33154.0,1.0
191,1996,3,0,0,26.51,100.16,61.3516297283817,137.0,1.0
195,1997,0,2,0,33.825,59.809,62.7858352045064,5.0,2.0
196,1997,1,2,0,22.212,92.70200000000001,62.7858352045064,223.0,2.0
197,1997,3,0,0,39.474000000000004,76.998,62.7858352045064,155052.0,2.0
198,1997,3,0,0,39.3,76.5,62.7858352045064,500098.0,2.0
199,1997,3,0,0,39.422,76.839,62.7858352045064,20008.0,2.0
200,1997,3,0,0,39.527,76.941,62.7858352045064,100098.0,2.0
203,1998,3,0,0,41.083,114.5,63.760455237399505,598049.0,1.0
204,1998,0,2,0,37.106,70.11,63.760455237399505,121635.0,1.0
205,1998,0,2,0,37.075,70.089,63.760455237399505,35141.0,1.0
207,1994,5,1,0,10.2,13.2,57.977974238072605,8959.0,2.0
208,1994,5,1,0,1.14,128.5,57.977974238072605,2438.0,1.0
209,1994,5,1,0,2.001,135.931,57.977974238072605,67.0,1.0
210,1995,5,1,0,40.1,21.6,59.6044948945252,191.0,1.0
211,1995,5,1,0,2.1,101.3,59.6044948945252,90302.0,2.0
212,1995,5,1,0,1.02,120.5,59.6044948945252,1538.0,1.0
213,1995,7,1,0,21.965999999999998,99.196,59.6044948945252,0.0,1.0
214,1996,5,1,0,0.7290000000000001,119.931,61.3516297283817,13009.0,1.0
215,1996,5,1,0,1.1,137.15,61.3516297283817,25804.0,1.0
219,1997,9,2,0,29.976,68.208,62.7858352045064,10150.0,2.0
220,1997,5,1,0,4.0,119.4,62.7858352045064,3125.0,2.0
221,1997,4,2,0,23.083000000000002,80.041,62.7858352045064,156543.0,2.0
226,1995,10,1,0,21.965999999999998,99.196,59.6044948945252,0.0,2.0
228,1998,3,0,0,27.308000000000003,101.029,63.760455237399505,337446.0,2.0
229,1998,0,2,0,36.479,71.086,63.760455237399505,0.0,1.0
230,1998,3,0,0,26.373,104.021,63.760455237399505,107084.0,1.0
231,1998,3,0,0,39.977,76.73100000000001,63.760455237399505,2000.0,1.0
232,1998,3,0,0,37.38800000000001,78.843,63.760455237399505,25028.0,1.0
233,1998,3,0,0,39.66,77.343,63.760455237399505,111865.0,1.0
234,1998,3,0,0,27.213,101.057,63.760455237399505,3528.0,2.0
235,1999,0,2,0,34.259,69.36399999999999,65.15554686152831,92030.0,2.0
236,1999,1,2,0,21.544,91.895,65.15554686152831,15206.0,2.0
237,1999,3,0,0,41.131,114.658,65.15554686152831,16003.0,2.0
238,1999,3,0,0,39.899,113.983,65.15554686152831,3020004.0,2.0
239,1999,3,0,0,40.459,122.889,65.15554686152831,800.0,1.0
241,2000,1,2,0,21.431,91.762,67.355758979313,1000.0,1.0
243,2000,3,0,0,25.607,101.063,67.355758979313,1855014.0,1.0
244,2000,3,0,0,24.263,103.797,67.355758979313,10303.0,2.0
245,2000,3,0,0,40.49800000000001,122.994,67.355758979313,62030.0,2.0
246,2000,3,0,0,37.012,103.791,67.355758979313,100.0,2.0
247,2000,3,0,0,25.826,102.194,67.355758979313,177612.0,1.0
248,2001,3,0,0,29.513,101.129,69.259339950271,300112.0,2.0
249,1998,5,1,0,-2.071,124.891,63.760455237399505,6481.0,2.0
