,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Region,Continent,Latitude,Longitude,CPI,total_affected
77,1979,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,8.21,115.95,28.3875988971359,36082.0
78,1979,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-7.656000000000001,108.25200000000001,28.3875988971359,43226.0
79,1979,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-3.299,102.712,28.3875988971359,1505.0
80,1979,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.39,115.889,28.3875988971359,651.0
84,1980,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,32.913000000000004,75.633,32.2338932328122,53.0
85,1980,Natural,Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,Asia,29.598000000000003,81.092,32.2338932328122,240700.0
86,1981,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-4.5760000000000005,139.232,35.5651715205916,2988.0
87,1981,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,35.693000000000005,73.594,35.5651715205916,2250.0
88,1981,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,29.855999999999998,66.962,35.5651715205916,243.0
89,1982,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.405,123.08,37.7458220769372,8830.0
90,1982,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,4.374,97.755,37.7458220769372,15000.0
92,1983,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,5.723,94.72200000000001,38.9583793014576,100.0
94,1983,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,36.372,70.738,38.9583793014576,567.0
95,1984,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,2.41,118.55,40.6338038615079,91.0
96,1984,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1.3,98.0,40.6338038615079,1858.0
97,1984,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,24.4,92.34,40.6338038615079,10920.0
99,1984,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,34.07,71.15,40.6338038615079,16.0
100,1985,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-4.13,136.049,42.0745267678182,17.0
102,1985,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,36.19,70.896,42.0745267678182,12043.0
103,1986,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,32.128,76.374,42.8731298312885,36.0
106,1986,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,27.727,66.65,42.8731298312885,750.0
108,1987,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.247,124.155,44.44423842484,17225.0
109,1987,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,2.244,98.866,44.44423842484,15003.0
111,1988,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,26.755,616.0,46.256556831435,20004148.0
114,1988,Natural,Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,Asia,26.755,86.616,46.256556831435,301725.0
116,1989,Natural,Geophysical,Earthquake,Ground movement,Bangladesh,Southern Asia,Asia,21.861,89.76299999999999,48.48936537103,101.0
117,1989,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.987,99.195,48.48936537103,40115.0
118,1989,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.893,113.884,48.48936537103,105169.0
119,1989,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,23.553,99.52600000000001,48.48936537103,26592.0
120,1989,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.881999999999998,106.804,48.48936537103,52804.0
121,1989,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,31.583000000000002,102.43299999999999,48.48936537103,21404.0
124,1990,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,37.001,103.863,51.1067950003987,30017.0
125,1990,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,35.986,100.245,51.1067950003987,34445.0
128,1991,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,37.457,68.273,53.2711566167213,24.0
129,1991,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,38.993,70.423,53.2711566167213,7130.0
131,1991,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,40.3,78.9,53.2711566167213,42808.0
132,1991,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.8,173.9,53.2711566167213,240543.0
134,1992,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,33.377,71.317,54.8846424128027,14.0
135,1992,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.41,91.1,54.8846424128027,16000.0
136,1993,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,23.027,101.062,56.5046456390697,142146.0
139,1989,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-4.511,139.02200000000002,48.48936537103,17316.0
140,1989,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1.031,126.189,48.48936537103,5500.0
141,1989,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.081,125.12899999999999,48.48936537103,197.0
142,1990,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,3.908,97.457,51.1067950003987,2173.0
143,1990,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1.186,122.85700000000001,51.1067950003987,7041.0
144,1990,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,9.904,101.12,51.1067950003987,103.0
147,1990,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,35.121,70.486,51.1067950003987,261.0
148,1990,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,28.925,66.331,51.1067950003987,51.0
149,1990,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,27.429,65.79,51.1067950003987,6.0
151,1991,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,30.78,78.774,53.2711566167213,55883.0
152,1991,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1.196,122.787,53.2711566167213,1000.0
153,1991,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,8.099,125.681,53.2711566167213,16219.0
155,1991,Natural,Geophysical,Earthquake,Ground movement,Myanmar,South-Eastern Asia,Asia,23.5,96.3,53.2711566167213,160.0
156,1991,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,38.993,70.423,53.2711566167213,205094.0
