Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1984-0309-AFG,1984,309,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Jalalabad Area,,,,,No,No,,6,Richter,34.26 N,70.28 E,,,1984,2,2,1984,2,2,1,35,,,35,,,5000,40.63380386,,,,
1985-0055-CHN,1985,55,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Yunnan province,,,,,,,,6,Richter,25.926,102.871,13:52,,1985,4,18,1985,4,18,22,300,,,300,,,,42.07452677,,,,
1985-0101-CHN,1985,101,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Wuqia-Shufu area,,,,,,,,7,Richter,39.431,75.224,20:41,,1985,8,23,1985,8,23,67,100,,16000,16100,,,,42.07452677,,,,
1986-0173-CHN,1986,173,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Ombu area, Tibet",,,,,No,No,,6,Richter,31.240 N,86.847 E,,,1986,6,20,1986,6,20,,,,290,290,,,,42.87312983,,,,
1986-0368-CHN,1986,368,,Technological,Technological,Miscellaneous accident,Collapse,,,China,CHN,Eastern Asia,Asia,Guangxi Zhaang,,,,,,,,,,,,,,1986,1,,1986,1,,48,,,,,,,,42.87312983,,,,
1987-0102-CHN,1987,102,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Wushi area (XINGJIANG WEIWUER ZIZHIQU PROVINCE),,,,,,,,6,Richter,41.529,79.318,16:09,,1987,1,24,1987,1,24,,,2085,,2085,,,,44.44423842,,,,
1987-0149-CHN,1987,149,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Ganzhou-Xunwu area,,,,,,,,5,Richter,24.924,115.608,17:07,,1987,8,2,1987,8,2,,84,185000,,185084,,,,44.44423842,,,,
1987-0518-CHN,1987,518,,Technological,Technological,Miscellaneous accident,Collapse,,Bridge,China,CHN,Eastern Asia,Asia,Sichuan,,,,,,,,,,,,,,1987,3,6,1987,3,6,21,,,,,,,,44.44423842,,,,
1987-0519-CHN,1987,519,,Technological,Technological,Miscellaneous accident,Collapse,,School,China,CHN,Eastern Asia,Asia,"Shuidong, Jiangxi",,,,,,,,,,,,,,1987,3,15,1987,3,15,28,,,,,,,,44.44423842,,,,
1987-0522-CHN,1987,522,,Technological,Technological,Miscellaneous accident,Collapse,,,China,CHN,Eastern Asia,Asia,Hunan,,,,,,,,,,,,,,1987,9,14,1987,9,14,39,,,,,,,,44.44423842,,,,
1988-0079-BGD,1988,79,,Natural,Geophysical,Earthquake,Ground movement,,,Bangladesh,BGD,Southern Asia,Asia,Syhlet,,,,,,,,6,Richter,24.688,991.57,20:50,,1988,2,6,1988,2,6,2,100,,,100,,,,46.25655683,,,,
1988-0035-CHN,1988,35,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Lingwu (Ningxia province),,,,,,,,6,Richter,38.111,106.336,5:32,,1988,1,4,1988,1,4,,60,50000,,50060,,,,46.25655683,,,,
1988-0502-CHN,1988,502,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Lancang, Menglian counties (Yunnan province)",,,,Yes,,,,8,Richter,22.789,99.611,21:03,,1988,11,6,1988,11,6,939,3364,1000000,267000,1270364,,,269000,46.25655683,,,,
1979-0086-IDN,1979,86,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Yapen, Jobi (Irian Jaja)",,Tsunami/Tidal wave,,,,,,8,Richter,-1.679,136.04,12:17,,1979,9,12,1979,9,12,2,5,5000,,5005,,,,28.3875989,,,,
1979-0054-IDN,1979,54,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Lombok Island (Sumabxa Isl. region),,,,,No,No,,6,Richter,8.21 S,115.95 E,,,1979,5,30,1979,5,30,34,48,18000,18000,36048,,,4150,28.3875989,,,,
1979-0102-IDN,1979,102,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,West Java,,,,,,,,6,Richter,-7.656,108.252,22:53,,1979,11,2,1979,11,2,26,200,43000,,43200,,,16000,28.3875989,,,,
1979-0114-IDN,1979,114,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Bengkulu area (South Sumatra),,,,,,,,7,Richter,-3.299,102.712,7:02,,1979,12,15,1979,12,15,5,,1500,,1500,,,,28.3875989,,,,
1979-0115-IDN,1979,115,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bali, Lombok",,,,,,,,6,Richter,-8.39,115.889,3:58,,1979,12,18,1979,12,18,32,619,,,619,,,,28.3875989,,,,
1979-0076-IND,1979,76,,Technological,Technological,Miscellaneous accident,Collapse,,Dam,India,IND,Southern Asia,Asia,Morvi (Gujarat),,,,,,,,,,,,,,1979,8,11,1979,8,11,1335,,150000,,150000,,,10000,28.3875989,,,,
1979-0263-IND,1979,263,,Technological,Technological,Miscellaneous accident,Collapse,,Bridge,India,IND,Southern Asia,Asia,Murshidabab district,,,,,,,,,,,,,,1979,10,23,1979,10,23,19,200,,,200,,,,28.3875989,,,,
1980-0088-IDN,1980,88,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Ternate (Moluccas),,,,,,,,,Richter,,,,,1980,9,5,1980,9,5,,,20000,,20000,,,,32.23389323,,,,
1980-0084-IND,1980,84,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Jammu (Kashmir),,,,,,,,6,Richter,32.913,75.633,3:06,,1980,8,24,1980,8,24,13,40,,,40,,,,32.23389323,,,,
1980-0071-NPL,1980,71,,Natural,Geophysical,Earthquake,Ground movement,,,Nepal,NPL,Southern Asia,Asia,"Mahakali, Seti, Karnalin Bheri, Rapti zones",,,,Yes,,,,7,Richter,29.598,81.092,20:28,,1980,7,29,1980,7,29,100,5600,200000,35000,240600,,,245000,32.23389323,,,,
1981-0025-IDN,1981,25,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Solo Valley (Irian Jaya),,"Slide (land, mud, snow, rock)",,Yes,,,,7,Richter,-4.576,139.232,22:11,,1981,1,19,1981,1,19,306,,2682,,2682,,,5000,35.56517152,,,,
1981-0081-PAK,1981,81,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"Karakoram, Darel, Tangir, Khanbari valleys",,"Slide (land, mud, snow, rock)",,,,,,6,Richter,35.693,73.594,12:15,,1981,9,12,1981,9,12,250,2000,,,2000,,,5000,35.56517152,,,,
1981-0127-PAK,1981,127,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Koshkak,,,,,,,,4,Richter,29.856,66.962,1:26,,1981,12,12,1981,12,12,6,12,225,,237,,,,35.56517152,,,,
1982-0128-IDN,1982,128,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Larantuka (Flores Isl.),,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,,,,,6,Richter,-8.405,123.08,20:28,,1982,12,25,1982,12,25,13,417,6400,2000,8817,,,1450,37.74582208,,,,
1982-0031-IDN,1982,31,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Sukabumi (Java),,Tsunami/Tidal wave,,,,,,5,Richter,4.374,97.755,11:22,,1982,2,24,1982,2,24,,,15000,,15000,,,3500,37.74582208,,,,
1982-0405-IND,1982,405,,Technological,Technological,Industrial accident,Collapse,,Mine,India,IND,Southern Asia,Asia,Topa,,,,,,,,,m3,,,,,1982,7,,1982,7,,16,,,,,,,,37.74582208,,,,
1983-0067-IDN,1983,67,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Banda Aceh (North Sumatra),,,,,,,,7,Richter,5.723,94.722,9:51,,1983,4,3,1983,4,3,,100,,,100,,,1000,38.9583793,,,,
1983-0085-IND,1983,85,,Technological,Technological,Miscellaneous accident,Collapse,,Roof,India,IND,Southern Asia,Asia,Bikramgant,,,,,,,,,,,,,,1983,6,11,1983,6,11,80,100,,,100,,,,38.9583793,,,,
1983-0165-PAK,1983,165,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"Pakistan/Afghanistan border, Hindu Kusk region",,,,,,,,7,Richter,36.372,70.738,4:52,,1983,12,31,1983,12,31,24,543,,,543,,,3000,38.9583793,,,,
1984-0015-IDN,1984,15,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Mamuju (Central Sulawesi),,,,,No,No,,6,Richter,2.41 S,118.55 E,,,1984,1,10,1984,1,10,2,89,,,89,,,,40.63380386,,,,
1984-0072-IDN,1984,72,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Pahae Jae sub-district (North Sumatra),,,,,No,No,,5,Richter,1.3 S,98.0 E,,,1984,8,27,1984,8,27,,108,1750,,1858,,,1000,40.63380386,,,,
1984-0124-IND,1984,124,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Cachar district (Assam),,,,,No,No,,6,Richter,24.40 N,92.34 E,,,1984,12,31,1984,12,31,20,100,800,10000,10900,,,,40.63380386,,,,
1984-0108-IND,1984,108,,Technological,Technological,Miscellaneous accident,Collapse,,Bridge,India,IND,Southern Asia,Asia,Kerala,,,,,,,,,,,,,,1984,11,7,1984,11,7,125,,,,,,,,40.63380386,,,,
1984-0339-PAK,1984,339,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Chiltral-Landi Kotal (Hindu Kush),,,,,No,No,,7,Richter,34.07 N,71.15 E,,,1984,2,17,1984,2,17,4,12,,,12,,,,40.63380386,,,,
1985-0110-IDN,1985,110,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Paniai District (Eastern Irian Jaya),,,,,,,,6,Richter,-4.13,136.049,17:42,,1985,9,15,1985,9,15,10,7,,,7,,,,42.07452677,,,,
1985-0097-IND,1985,97,,Technological,Technological,Miscellaneous accident,Collapse,,Building,India,IND,Southern Asia,Asia,Bombay,,,,,,,,,,,,,,1985,8,13,1985,8,13,43,60,,,60,,,,42.07452677,,,,
1985-0078-PAK,1985,78,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"Chitral, Swat districts",,,,,,,,7,Richter,36.19,70.896,12:54,,1985,7,29,1985,7,29,5,38,12000,,12038,,,2000,42.07452677,,,,
1986-0372-IND,1986,372,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Dharmsala,,,,,No,No,,5,Richter,32.128 N,76.374 E,,,1986,4,26,1986,4,26,6,30,,,30,,,5000,42.87312983,,,,
1986-0365-IND,1986,365,,Technological,Technological,Industrial accident,Collapse,,,India,IND,Southern Asia,Asia,Maharashtra,,,,,,,,,m3,,,,,1986,6,22,1986,6,22,20,,,,,,,,42.87312983,,,,
1986-0001-LKA,1986,1,,Technological,Technological,Miscellaneous accident,Collapse,,Dam,Sri Lanka,LKA,Southern Asia,Asia,"Tricomalee, Kantalai",,,,,,,,,,,,,,1986,4,20,1986,4,20,39,,40000,8000,48000,,,,42.87312983,,,,
1986-0186-PAK,1986,186,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Khuzdar area,,,,,No,No,,5,Richter,27.727 N,66.650 E,,,1986,10,16,1986,10,16,,,750,,750,,,,42.87312983,,,,
1986-0367-PAK,1986,367,,Technological,Technological,Miscellaneous accident,Collapse,,Commercial center,Pakistan,PAK,Southern Asia,Asia,Dacca,,,,,,,,,,,,,,1986,11,19,1986,11,19,20,,,,,,,,42.87312983,,,,
1987-0213-IDN,1987,213,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,South Pantar Isl.(Timor),,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,,,,,7,Richter,-8.247,124.155,8:43,,1987,11,26,1987,11,26,125,100,16000,1000,17100,,,5000,44.44423842,,,,
1987-0086-IDN,1987,86,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Tarutung (North Sumatra),,,,,,,,6,Richter,2.244,98.866,2:22,,1987,4,26,1987,4,26,2,1,15000,,15001,,,,44.44423842,,,,
1987-0520-IND,1987,520,,Technological,Technological,Miscellaneous accident,Collapse,,,India,IND,Southern Asia,Asia,Bihar,,,,,,,,,,,,,,1987,4,23,1987,4,23,21,,,,,,,,44.44423842,,,,
1988-0382-IND,1988,382,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Dharbhanga, Madhubani, Saharsa, Munger, Khagana, Bihar Sharie (Bihar State)",,,,Yes,,,,7,Richter,26.755,616,4:39,,1988,8,21,1988,8,21,382,3766,20000000,,20003766,,,71500,46.25655683,,,,
1988-0194-IND,1988,194,,Technological,Technological,Miscellaneous accident,Collapse,,Hospital,India,IND,Southern Asia,Asia,Jammu,,,,,,,,,,,,,,1988,5,2,1988,5,2,14,50,,,50,,,,46.25655683,,,,
1988-0330-MYS,1988,330,,Technological,Technological,Miscellaneous accident,Collapse,,,Malaysia,MYS,South-Eastern Asia,Asia,Butterworth,,,,,,,,,,,,,,1988,7,31,1988,7,31,30,300,,,300,,,,46.25655683,,,,
1988-0383-NPL,1988,383,,Natural,Geophysical,Earthquake,Ground movement,,,Nepal,NPL,Southern Asia,Asia,"Daharam, Dhankuta, Terathum, Panchthar, Ilam, Morang, Bhaktapur",,,,Yes,Yes,,,7,Richter,26.755,86.616,4:54,,1988,8,20,1988,8,20,709,1016,300000,,301016,,,60000,46.25655683,,,,
1983-0447-THA,1983,447,,Technological,Technological,Industrial accident,Collapse,,Factory,Thailand,THA,South-Eastern Asia,Asia,Lamlooka district (Pathum province),,,,,,,,,m3,,,,,1983,11,19,1983,11,19,30,50,,,50,,,,38.9583793,,,,
1989-0071-BGD,1989,71,,Natural,Geophysical,Earthquake,Ground movement,,,Bangladesh,BGD,Southern Asia,Asia,Banaripara area,,,,,,,,5,Richter,21.861,89.763,18:04,,1989,6,12,1989,6,12,1,100,,,100,,,,48.48936537,,,,
1989-0081-CHN,1989,81,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Batang county Litang, Baiju, Derong, Xiangcheng, Daocheng counties (Sichuan province)",,,,,,,,6,Richter,29.987,99.195,5:34,,1989,4,15,1989,4,15,8,107,,40000,40107,,,164000,48.48936537,,,,
1989-0136-CHN,1989,136,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Between Datong (Shanxi) and Yangyuan (Hebei),,,,,,,,5,Richter,39.893,113.884,23:57,,1989,10,18,1989,10,18,29,140,50000,55000,105140,,,,48.48936537,,,,
1989-0155-CHN,1989,155,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Gengma, Lancang, Menglian (Yunnan province)",,,,,,,,6,Richter,23.553,99.526,8:38,,1989,5,7,1989,5,7,1,91,,26500,26591,,,54000,48.48936537,,,,
1989-0225-CHN,1989,225,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Jiangbei county (Chong Qing, Sichuan Province)",,,,,,,,5,Richter,29.882,106.804,11:21,,1989,11,20,1989,11,20,4,,52800,,52800,,,,48.48936537,,,,
1989-0287-CHN,1989,287,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Xiaojin county (Sichuan province),,,,,,,,6,Richter,31.583,102.433,10:25,,1989,9,22,1989,9,22,,54,,21350,21404,,,,48.48936537,,,,
1989-0366-CHN,1989,366,,Technological,Technological,Miscellaneous accident,Collapse,,Dam,China,CHN,Eastern Asia,Asia,Shanxi province,,,,,,,,,,,,,,1989,6,20,1989,6,20,38,,,,,,,,48.48936537,,,,
1989-0555-CHN,1989,555,,Technological,Technological,Miscellaneous accident,Collapse,,Wall,China,CHN,Eastern Asia,Asia,Fujian province,,,,,,,,,,,,,,1989,9,10,1989,9,10,30,,,,,,,,48.48936537,,,,
1990-0093-CHN,1990,93,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Tian Zhu, Jing Tai, Gu Lang counties (Gansu Province)",,,,,No,No,,6,Richter,37.001 N,103.863 E,16:07,,1990,10,20,1990,10,20,1,16,30000,,30016,,,,51.106795,,,,
1990-0099-CHN,1990,99,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Qinghai Province,,,,,No,No,,7,Richter,35.986 N,100.245 E,,,1990,4,26,1990,4,26,126,2049,24574,7696,34319,,,58350,51.106795,,,,
1990-0564-CHN,1990,564,,Technological,Technological,Industrial accident,Collapse,,Factory,China,CHN,Eastern Asia,Asia,Dalian,,,,,,,,,m3,,,,,1990,2,18,1990,2,18,41,100,,,100,,,,51.106795,,,,
1990-0565-CHN,1990,565,,Technological,Technological,Industrial accident,Collapse,,Cheminee,China,CHN,Eastern Asia,Asia,Kanton,,,,,,,,,m3,,,,,1990,5,7,1990,5,7,24,,,,,,,,51.106795,,,,
1991-0498-AFG,1991,498,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Keshim (Badakhshan province),,"Slide (land, mud, snow, rock)",,,No,No,,5,Richter,37.457 N,68.273 E,,,1991,4,18,1991,4,18,24,,,,,,,,53.27115662,,,,
1991-0033-AFG,1991,33,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Konar, Nangarhar, Badakhstan provinces",,,,Yes,No,No,,6,Richter,38.993 N,70.423 E,,,1991,1,31,1991,1,31,130,,7000,,7000,,,,53.27115662,,,,
1991-0077-AFG,1991,77,,Technological,Technological,Miscellaneous accident,Collapse,,Building,Afghanistan,AFG,Southern Asia,Asia,,,,,,,,,,,,,,,1991,2,28,1991,2,28,40,,,,,,,,53.27115662,,,,
1991-0043-CHN,1991,43,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Keping County (Xinjiang Region),,,,,,,,7,Richter,40.3 N,78.9. E,22:33,,1991,2,25,1991,2,25,,3,42205,600,42808,,,,53.27115662,,,,
1991-0088-CHN,1991,88,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Yanggao, Hunyuan, Guangling, Tianzhen, Datong Counties (Shanxi province, Yangyuan, Yuxian Counties (Hebei province)",,,,,No,No,,6,Richter,39.8 N,173.9 E,2:02,,1991,3,26,1991,3,26,1,542,240000,,240542,,,,53.27115662,,,,
1991-0665-CHN,1991,665,,Technological,Technological,Miscellaneous accident,Collapse,,Bridge,China,CHN,Eastern Asia,Asia,Shanxi province,,,,,,,,,,,,,,1991,2,15,1991,2,15,23,140,,,140,,,,53.27115662,,,,
1992-0202-AFG,1992,202,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,,,,,,No,No,,6,Richter,33.377 N,71.317 E,,,1992,5,20,1992,5,20,14,,,,,,,,54.88464241,,,,
1992-0256-CHN,1992,256,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Lhasa prefecture (Tibet),,,,,No,No,,7,Richter,29.41 N,91.10 E,,,1992,7,31,1992,7,31,,,16000,,16000,,,3150,54.88464241,,,,
1993-0108-CHN,1993,108,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Yunnan province,,,,,No,No,,6,Richter,23.027 N,101.062 E,4:32,,1993,1,27,1993,1,27,,66,107220,34860,142146,,,,56.50464564,,,,
1993-0582-CHN,1993,582,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Shufu area,,,,,No,No,,5,Richter,,,,,1993,11,30,1993,11,30,,4,,500,504,,,,56.50464564,,,,
1993-0072-CHN,1993,72,,Technological,Technological,Miscellaneous accident,Collapse,,Dam,China,CHN,Eastern Asia,Asia,"Conghe county (Hainan Tibet precture, Qinghai province)",,,,,,,1283,,,,,,,1993,8,27,1993,8,27,370,336,32800,,33136,,,26000,56.50464564,,,,
1989-0092-IDN,1989,92,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Irian Jaya, Jayawijaya districts",,"Slide (land, mud, snow, rock)",,Yes,,,,6,Richter,-4.511,139.022,15:04,,1989,8,1,1989,8,1,120,196,17000,,17196,,,,48.48936537,,,,
1989-0045-IDN,1989,45,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Morotai, Tanawangu (Molucca passage)",,,,,,,,5,Richter,1.031,126.189,18:44,,1989,3,8,1989,3,8,,,,5500,5500,,,,48.48936537,,,,
1989-0218-IDN,1989,218,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Alor (Timor),,,,,,,,6,Richter,-8.081,125.129,5:42,,1989,7,14,1989,7,14,,7,190,,197,,,,48.48936537,,,,
1990-0593-IDN,1990,593,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bangkejeren, Kutacane, Medan area (North Sumatra)",,"Slide (land, mud, snow, rock)",,,No,No,,6,Richter,3.908 N,97.457 E,,,1990,11,15,1990,11,15,1,32,2140,,2172,,,2100,51.106795,,,,
1990-0017-IDN,1990,17,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Minahassa Peninsula (Sulawesi Isl.),,,,,,,,8,Richter,1.186,122.857,21:39,,1990,4,18,1990,4,18,5,36,7000,,7036,,,,51.106795,,,,
1990-0702-IDN,1990,702,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kuningan, Majalenga, Sumedang area (Java)",,,,,No,No,,6,Richter,9.904 S,101.120 E,,,1990,7,6,1990,7,6,,103,,,103,,,,51.106795,,,,
1990-0567-IND,1990,567,,Technological,Technological,Miscellaneous accident,Collapse,,Building,India,IND,Southern Asia,Asia,Bombay,,,,,,,,,,,,,,1990,8,28,1990,8,28,20,,,,,,,,51.106795,,,,
1990-0568-IND,1990,568,,Technological,Technological,Miscellaneous accident,Collapse,,,India,IND,Southern Asia,Asia,Goa,,,,,,,,,,,,,,1990,10,15,1990,10,15,30,,,,,,,,51.106795,,,,
1990-0165-PAK,1990,165,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Hindu Kush region,,,,,No,No,,7,Richter,35.121 N,70.486 E,,,1990,10,22,1990,10,22,11,250,,,250,,,,51.106795,,,,
1990-0189-PAK,1990,189,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Kalat Area,,,,,No,No,,6,Richter,28.925 N,66.331 E,,,1990,3,4,1990,3,4,11,40,,,40,,,1000,51.106795,,,,
1990-0219-PAK,1990,219,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,South Baluchistan Province,,,,,No,No,,6,Richter,27.429 N,65.79 E,,,1990,6,17,1990,6,17,,6,,,6,,,,51.106795,,,,
1990-0563-PAK,1990,563,,Technological,Technological,Miscellaneous accident,Collapse,,,Pakistan,PAK,Southern Asia,Asia,Punjab,,,,,,,,,,,,,,1990,1,2,1990,1,2,100,,,,,,,,51.106795,,,,
1991-0368-IND,1991,368,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Harsil (near Gangotri, Uttarkashi's Bhagirathi valley, Uttar Pradesh)",,"Slide (land, mud, snow, rock)",,Yes,No,No,,6,Richter,30.780 N,78.774 E,,,1991,10,20,1991,10,20,1500,1383,53000,,54383,,,60000,53.27115662,,,,
1991-0124-IDN,1991,124,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Gorontalo area (Minahassa Peninsula),,,,,No,No,,7,Richter,1.196 N,122.787 E,12:18,,1991,6,20,1991,6,20,,,1000,,1000,,,,53.27115662,,,,
1991-0165-IDN,1991,165,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kalabahi (Alors district, Timor)",,,,Yes,No,No,,7,Richter,8.099 S,125.681 E,20:00,,1991,7,4,1991,7,4,28,191,15000,1000,16191,,,18000,53.27115662,,,,
1991-0666-IND,1991,666,,Technological,Technological,Miscellaneous accident,Collapse,,Building,India,IND,Southern Asia,Asia,Calcutta,,,,,,,,,,,,,,1991,2,28,1991,2,28,52,,,,,,,,53.27115662,,,,
1991-0001-MMR,1991,1,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,Thabeikkyin area,,,,,No,No,,7,Richter,23.5 N,96.3 E,,,1991,1,5,1991,1,5,,,160,,160,,,,53.27115662,,,,
1991-0033-PAK,1991,33,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"Malakand, Chitral, Peshawar area",,,,,,,,6,Richter,38.993,70.423,,,1991,1,31,1991,1,31,300,574,174755,29465,204794,,,10000,53.27115662,,,,
1992-0163-IDN,1992,163,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Sikka, East Flores, Ende, Ngada (Flores Isl.)",,Tsunami/Tidal wave,,Yes,No,No,5209,8,Richter,8.482 S,121.930 E,,,1992,12,12,1992,12,12,2500,2103,,90000,92103,,,100000,54.88464241,,,,
1992-0247-IDN,1992,247,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Brebes area (Java, Sulawesi)",,,,,No,No,,5,Richter,7.138 S,109.067 E,,,1992,2,4,1992,2,4,,1,,7500,7501,,,,54.88464241,,,,
1992-0246-IND,1992,246,,Technological,Technological,Miscellaneous accident,Collapse,,House,India,IND,Southern Asia,Asia,Srinigar,,,,,,,,,,,,,,1992,5,4,1992,5,4,81,100,,,100,,,,54.88464241,,,,
1992-0316-IND,1992,316,,Technological,Technological,Miscellaneous accident,Collapse,,Building,India,IND,Southern Asia,Asia,Amritsar,,,,,,,,,,,,,,1992,7,18,1992,7,18,22,,,,,,,,54.88464241,,,,
1992-0317-IND,1992,317,,Technological,Technological,Miscellaneous accident,Collapse,,Building,India,IND,Southern Asia,Asia,Simla,,,,,,,,,,,,,,1992,7,15,1992,7,15,35,45,,,45,,,,54.88464241,,,,
1992-0318-IND,1992,318,,Technological,Technological,Miscellaneous accident,Collapse,,Host house,India,IND,Southern Asia,Asia,Kumbakonam,,,,,,,,,,,,,,1992,2,18,1992,2,18,47,50,,,50,,,,54.88464241,,,,
