Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1997-0011-CHN,1997,11,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Southern Xinjiang,,,,,No,No,,6,Richter,39.474 N,76.998 E E,9:48,,1997,1,21,1997,1,21,12,40,85000,70000,155040,,,,62.7858352,,,,
1997-0326-CHN,1997,326,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Kashi, Atushi (Jiashi county), Yuepuhu, Bachu, Shule, Yingjisha counties (Xinhiang autonomus region)",,,,,No,No,,7,Richter,39.3 N,76.5 E,13:34,,1997,4,6,1997,4,6,9,89,500000,,500089,,,,62.7858352,,,,
1997-0531-CHN,1997,531,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Jiashi county (Xinjiang),,,,,No,No,,5,Richter,39.422 N,76.839 E,,,1997,3,1,1997,3,1,2,6,,20000,20006,,,,62.7858352,,,,
1997-0532-CHN,1997,532,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Jiashi county (Xinjiang),,,,,No,No,,6,Richter,39.527 N,76.941 E,,,1997,4,11,1997,4,11,9,89,,100000,100089,,,,62.7858352,,,,
1997-0048-CHN,1997,48,,Technological,Technological,Miscellaneous accident,Collapse,,Building,China,CHN,Eastern Asia,Asia,Putian,,,,,,,,,,,,,,1997,3,27,1997,3,27,20,40,,,40,,,,62.7858352,,,,
1997-0472-CHN,1997,472,,Technological,Technological,Miscellaneous accident,Collapse,,Private house,China,CHN,Eastern Asia,Asia,"Zhejiang, Changshan",,,,,,,,,,,,,,1997,7,12,1997,7,12,36,3,,,3,,,,62.7858352,,,,
1998-0076-CHN,1998,76,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Shangyi-Zhangbei (Hebei province),,Fire,,Yes,,,3668,6,Richter,41.083,114.5,11:50,,1998,1,10,1998,1,10,49,12000,542000,44000,598000,,,285500,63.76045524,,,,
1998-0152-AFG,1998,152,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Shari-I-Buzurg (Faizabad ),,"Slide (land, mud, snow, rock)",,Yes,Yes,,5042,7,Richter,37.106,70.11,10:52,,1998,5,30,1998,5,30,4700,1935,70000,45000,116935,,,10000,63.76045524,,,,
1998-0026-AFG,1998,26,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Rustaq (Takhar province),,,,Yes,Yes,,7454,6,Richter,37.075,70.089,19:07,,1998,2,4,1998,2,4,2323,818,32000,,32818,,,10000,63.76045524,,,,
1998-0100-CHN,1998,100,,Technological,Technological,Industrial accident,Collapse,,,China,CHN,Eastern Asia,Asia,Henan province,,,,,,,,,m3,,,,,1998,4,8,1998,4,8,84,,,,,,,,63.76045524,,,,
1994-0062-IDN,1994,62,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Purwoharjo, Sarongan, Tegaldlimo, Banyuwangi (South Java)",,Tsunami/Tidal wave,,,No,No,266,7,Richter,10.20 S,13.2 E,,,1994,6,2,1994,6,2,239,440,8280,,8720,,,2200,57.97797424,,,,
1994-0513-IDN,1994,513,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,North Maluku (Obi Isl.),,Tsunami/Tidal wave,,,No,No,,6,Richter,1.14 S,128.5 E,4:44,,1994,10,9,1994,10,9,1,52,2385,,2437,,,,57.97797424,,,,
1994-0652-IDN,1994,652,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Maluki, Irian Jaya, North Sumatra, Denpasar",,,,,No,No,,6,Richter,2.001 S,135.931 E,,,1994,11,20,1994,11,20,,28,39,,67,,,,57.97797424,,,,
1995-0084-IDN,1995,84,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Dili, Maliana, Mauraba (East Timor)",,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,,No,No,,7,Richter,40.1 N,21.6 E,19:33,,1995,5,14,1995,5,14,15,26,150,,176,,,,59.60449489,,,,
1995-0252-IDN,1995,252,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Airhangat, Danaukerinci, Gunungkerinci, Gunungraya, Sitinjau Laut, Sungaipenuh (Jambi province)",,"Slide (land, mud, snow, rock)",,Yes,No,No,1018,7,Richter,2.1 S,101.3 E,1:10,,1995,10,7,1995,10,7,84,1868,52665,35685,90218,,,,59.60449489,,,,
1995-0089-IDN,1995,89,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Parigi, Palu, Poso (Sulawesi)",,,,,No,No,,6,Richter,1.02 S,120.5 E,6:13,,1995,5,19,1995,5,19,,38,1500,,1538,,,,59.60449489,,,,
